Number in Figure 4	Input step	Output step	Tool suites	Corresponding RRID or biotools ID		
4	(Meta)genomics: Assemblies /  Metagenome assembled genomes	(Meta)genomics: Reconstructed annotated complex & unknown genomes / Annotated gene catalog /   Numerous functional elements /  Antibiotic Resistance Genes /  Antimicrobial peptides /  Virulence Identification /  Mob. elements transposons Genomics islands /  Molecular typing /  Biosythetic gene	Maker	RRID:SCR_005309		
4	(Meta)genomics: Assemblies /  Metagenome assembled genomes	(Meta)genomics: Reconstructed annotated complex & unknown genomes / Annotated gene catalog /   Numerous functional elements /  Antibiotic Resistance Genes /  Antimicrobial peptides /  Virulence Identification /  Mob. elements transposons Genomics islands /  Molecular typing /  Biosythetic gene	braker	RRID:SCR_018964		
4	(Meta)genomics: Assemblies /  Metagenome assembled genomes	(Meta)genomics: Reconstructed annotated complex & unknown genomes / Annotated gene catalog /   Numerous functional elements /  Antibiotic Resistance Genes /  Antimicrobial peptides /  Virulence Identification /  Mob. elements transposons Genomics islands /  Molecular typing /  Biosythetic gene	eggNOG Mapper	RRID:SCR_021165		
4	(Meta)genomics: Assemblies /  Metagenome assembled genomes	(Meta)genomics: Reconstructed annotated complex & unknown genomes / Annotated gene catalog /   Numerous functional elements /  Antibiotic Resistance Genes /  Antimicrobial peptides /  Virulence Identification /  Mob. elements transposons Genomics islands /  Molecular typing /  Biosythetic gene	InterProScan	RRID:SCR_005829		
4	(Meta)genomics: Assemblies /  Metagenome assembled genomes	(Meta)genomics: Reconstructed annotated complex & unknown genomes / Annotated gene catalog /   Numerous functional elements /  Antibiotic Resistance Genes /  Antimicrobial peptides /  Virulence Identification /  Mob. elements transposons Genomics islands /  Molecular typing /  Biosythetic gene	Funannotate	RRID:SCR_023039		
4	(Meta)genomics: Assemblies /  Metagenome assembled genomes	(Meta)genomics: Reconstructed annotated complex & unknown genomes / Annotated gene catalog /   Numerous functional elements /  Antibiotic Resistance Genes /  Antimicrobial peptides /  Virulence Identification /  Mob. elements transposons Genomics islands /  Molecular typing /  Biosythetic gene	pharokka	RRID:SCR_026017		
5	(Meta)genomics: Assemblies / Metagenome assembled genomes	(Meta)genomics: Reconstructed annotated complex & unknown genomes / Annotated gene catalog /   Numerous functional elements /  Antibiotic Resistance Genes /  Antimicrobial peptides	HMMER	RRID:SCR_005305		
6	(Meta)genomics: Assemblies / Metagenome assembled genomes	(Meta)genomics: Reconstructed annotated complex & unknown genomes / Annotated gene catalog /   Numerous functional elements /  Antibiotic Resistance Genes	Bakta	RRID:SCR_026400		
6	(Meta)genomics: Assemblies / Metagenome assembled genomes	(Meta)genomics: Reconstructed annotated complex & unknown genomes / Annotated gene catalog /   Numerous functional elements /  Antibiotic Resistance Genes	AMRFinderPlus	biotools:amrfinderplus		
6	(Meta)genomics: Assemblies / Metagenome assembled genomes	(Meta)genomics: Reconstructed annotated complex & unknown genomes / Annotated gene catalog /   Numerous functional elements /  Antibiotic Resistance Genes	ABRicate	RRID:SCR_021093		
